Station,Field Asset Name,X,Y,Z,Customer Name,Site
NYCT00USA,00871-01:2193036,1164348.159,-4397786.42,4455530.386,Swift,CONUS 1.0NortheastNYUSA001780
NYLH00USA,00871-01:1018828042,1383402.101,-4639371.111,4138545.49,Swift,NYLH_USA002058
NYNB00USA,00871-01:2193133,1317032.912,-4599111.54,4204231.293,Swift,NYNB_NYUSA001881
NYSC00USA,00871-01:2026,1115006.963,-4532943.716,4331811.74,Swift,CONUS 1.0NortheastNYUSA001781
NYSJ00USA,00871-01:2052,1234354.758,-4506067.49,4327494.175,Swift,CONUS 1.0NorthEastNYUSA001782
OHCL00USA,00871-01:2193137,608087.8717,-4858201.346,4074254.886,Swift,OHCL_Midwest001927
OHLG00USA,00871-01:2193009,658430.9078,-4758779.01,4181644.233,Swift,CONUS 1.0MidwestOHUSA001785
OHOT00USA,00871-01:1985,499745.8428,-4793368.56,4164151.914,Swift,CONUS 1.0MidwestOHUSA001786
OKAL00USA,00871-01:2022,-852035.2469,-5183990.992,3605350.634,Swift,CONUS 1.0South CentralOKUSA001787
OKAR00USA,00871-01:1990,-657590.4021,-5239864.488,3565046.534,Swift,CONUS 1.0South CentralOKUSA001788
OKGU00USA,00871-01:1018828021,-1019479.012,-5019420.673,3789702.118,Swift,CONUS 1.0South CentralOKUSA001789
OKMC00USA,00871-01:2050,-525845.4399,-5208484.661,3631732.01,Swift,CONUS 1.0South CentralOKUSA001790
OKOK00USA,00871-01:2048,-681671.5778,-5146905.587,3692907.582,Swift,CONUS 1.0South CentralOKUSA001791
OKTA00USA,00871-01:1018828064,-535208.4747,-5127847.416,3742671.46,Swift,CONUS 1.0South CentralOKUSA001792
ONOT00CAN,00871-01:2193056,1105771.647,-4346875.972,4519442.716,Swift,CONUS 1.0CanadaONCAN001793
ONTT00CAN,00871-01:2034,853658.2011,-4528057.336,4395496.982,Swift,CONUS 1.0CanadaON001794
ORAS00USA,00871-01:2193012,-2464667.775,-3673186.513,4579551.878,Swift,CONUS 1.0NorthwestORUSA001795
ORBA00USA,00871-01:1018828020,-2635369.827,-3846771.072,4337151.482,Swift,CONUS 1.0WestORUSA001931
ORBC00USA,00871-01:2193067,-2117575.842,-4011211.363,4470494.983,Swift,ORBC_USA002062
ORBD00USA,00871-01:1018828001,-2386340.421,-3922832.331,4413629.079,Swift,CONUS 1.0NorthwestORUSA001796
ORBR00USA,00871-01:2030,-2247565.377,-4045564.751,4376015.094,Swift,CONUS 1.0NorthwestORUSA001797
OREU00USA,00871-01:1018828016,-2509724.429,-3845330.649,4411975.754,Swift,CONUS 1.0WestORUSA001798
ORMF00USA,00871-01:2031,-2563227.184,-3966040.2,4273517.582,Swift,CONUS 1.0WestORUSA001799
ORRB00USA,00871-01:1018828047,-2559480.19,-3889781.892,4344408.642,Swift,CONUS 1.0WestORUSA001801
ORSL00USA,00871-01:1018828005,-2465510.008,-3791060.751,4482722.566,Swift,CONUS 1.0NorthwestORUSA001802
PAAL00USA,00871-01:2193037,1208060.81,-4695735.555,4130088.43,Swift,CONUS 1.0NortheastPAUSA001803
PACG00USA,00871-01:1860,830573.259,-4803148.543,4100084.031,Swift,CONUS 1.0PAUSA001804
PAER00USA,00871-01:2193001,815755.7943,-4666918.614,4256222.462,Swift,CONUS 1.0NortheastPA 16508USA001806
PAMF00USA,00871-01:2193006,1064742.342,-4641011.645,4229843.287,Swift,CONUS 1.0NortheastPA 16933USA001807
PAMN00USA,00871-01:1861,824642.6054,-4785230.143,4122118.922,Swift,CONUS 1.0NortheastPAUSA001808
PANC00USA,00871-01:2193130,1108286.838,-4748824.193,4097409.2,Swift,CONUS 1.0NortheastPAUSA001924
PATM00USA,00871-01:1963,862375.182,-4772335.412,4129128.11,Swift,CONUS 1.0NorthEastPAUSA001809
SCMP00USA,00871-01:2193055,944271.7857,-5282147.548,3436284.35,Swift,CONUS 1.0SoutheastSCUSA001810
SCOB00USA,00871-01:2193033,845470.3273,-5257066.425,3499588.655,Swift,CONUS 1.0SoutheastSCUSA001811
SDML00USA,00871-01:2000,-644761.4072,-4572593.422,4385390.882,Swift,CONUS 1.0MidwestSDUSA001812
SDPB00USA,00871-01:2056,-810595.1359,-4401717.931,4529512.903,Swift,CONUS 1.0NorthwestSDUSA001813
